ID	Gene Ontology Molecular Function
100019_at	0005488 // binding // inferred from electronic annotation /// 0005509 // calcium ion binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0005529 // sugar binding // inferred from electronic annotation /// 0005540 // hyaluronic acid binding // inferred from electronic annotation
100020_at	0005215 // transporter activity // inferred from electronic annotation /// 0005452 // inorganic anion exchanger activity // inferred from electronic annotation /// 0008509 // anion transmembrane transporter activity // inferred from electronic annotation /// 0015297 // antiporter activity // inferred from electronic annotation /// 0015380 // anion exchanger activity // inferred from electronic annotation
100021_at	0004872 // receptor activity // inferred from electronic annotation /// 0004889 // nicotinic acetylcholine-activated cation-selective channel activity // inferred from genetic interaction /// 0004889 // nicotinic acetylcholine-activated cation-selective channel activity // not recorded /// 0004889 // nicotinic acetylcholine-activated cation-selective channel activity // inferred from electronic annotation /// 0005216 // ion channel activity // inferred from electronic annotation /// 0005230 // extracellular ligand-gated ion channel activity // inferred from electronic annotation /// 0015464 // acetylcholine receptor activity // inferred from direct assay /// 0030594 // neurotransmitter receptor activity // inferred from electronic annotation /// 0042166 // acetylcholine binding // inferred from genetic interaction
100022_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation
100023_at	0003677 // DNA binding // inferred from electronic annotation
100024_at	0003779 // actin binding // inferred from direct assay /// 0003779 // actin binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation
100026_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004084 // branched-chain-amino-acid transaminase activity // inferred from direct assay /// 0004084 // branched-chain-amino-acid transaminase activity // inferred from electronic annotation /// 0008483 // transaminase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
100027_s_at	0003714 // transcription corepressor activity // inferred from electronic annotation /// 0047485 // protein N-terminus binding // inferred from electronic annotation
100028_r_at	0003714 // transcription corepressor activity // inferred from electronic annotation /// 0047485 // protein N-terminus binding // inferred from electronic annotation
100029_at	0003714 // transcription corepressor activity // inferred from electronic annotation /// 0047485 // protein N-terminus binding // inferred from electronic annotation
100030_at	"0003824 // catalytic activity // inferred from electronic annotation /// 0004850 // uridine phosphorylase activity // inferred from direct assay /// 0004850 // uridine phosphorylase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation"
100032_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from sequence or structural similarity /// 0003677 // DNA binding // inferred from electronic annotation /// 0003690 // double-stranded DNA binding // inferred from direct assay /// 0003700 // transcription factor activity // inferred from direct assay /// 0003700 // transcription factor activity // inferred from mutant phenotype /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008022 // protein C-terminus binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016563 // transcription activator activity // not recorded /// 0016563 // transcription activator activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100033_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from mutant phenotype /// 0003677 // DNA binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from sequence or structural similarity /// 0003684 // damaged DNA binding // inferred from mutant phenotype /// 0004422 // hypoxanthine phosphoribosyltransferase activity // inferred from direct assay /// 0005524 // ATP binding // inferred from electronic annotation /// 0016887 // ATPase activity // inferred from mutant phenotype /// 0019237 // centromeric DNA binding // inferred from direct assay /// 0030983 // mismatched DNA binding // inferred from mutant phenotype /// 0030983 // mismatched DNA binding // inferred from electronic annotation /// 0032137 // guanine/thymine mispair binding // inferred from direct assay /// 0032137 // guanine/thymine mispair binding // not recorded
100034_at	0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation
100035_at	"0004383 // guanylate cyclase activity // inferred from direct assay /// 0004383 // guanylate cyclase activity // inferred from mutant phenotype /// 0004383 // guanylate cyclase activity // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008528 // peptide receptor activity, G-protein coupled // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0016849 // phosphorus-oxygen lyase activity // inferred from electronic annotation /// 0016941 // natriuretic peptide receptor activity // inferred from electronic annotation /// 0019901 // protein kinase binding // inferred from electronic annotation /// 0031404 // chloride ion binding // inferred from electronic annotation"
100037_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0004386 // helicase activity // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008026 // ATP-dependent helicase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
100039_at	0005515 // protein binding // inferred from electronic annotation
100040_at	0003735 // structural constituent of ribosome // not recorded /// 0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0019904 // protein domain specific binding // inferred from electronic annotation
100041_at	0005488 // binding // inferred from electronic annotation
100042_at	0004416 // hydroxyacylglutathione hydrolase activity // inferred from direct assay /// 0004416 // hydroxyacylglutathione hydrolase activity // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100043_f_at	
100044_at	0005198 // structural molecule activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0042802 // identical protein binding // inferred from sequence or structural similarity
100046_at	0000287 // magnesium ion binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004477 // methenyltetrahydrofolate cyclohydrolase activity // inferred from electronic annotation /// 0004487 // methylenetetrahydrofolate dehydrogenase (NAD+) activity // inferred from electronic annotation /// 0004488 // methylenetetrahydrofolate dehydrogenase (NADP+) activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0042301 // phosphate binding // inferred from electronic annotation
100047_at	0000149 // SNARE binding // inferred from direct assay /// 0000149 // SNARE binding // not recorded /// 0005515 // protein binding // inferred from physical interaction /// 0017075 // syntaxin-1 binding // not recorded
100048_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003924 // GTPase activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005525 // GTP binding // inferred from electronic annotation /// 0017016 // Ras GTPase binding // inferred from physical interaction
100049_at	0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0008134 // transcription factor binding // inferred from sequence or structural similarity /// 0030374 // ligand-dependent nuclear receptor transcription coactivator activity // inferred from sequence or structural similarity /// 0042974 // retinoic acid receptor binding // inferred from sequence or structural similarity /// 0042975 // peroxisome proliferator activated receptor binding // inferred from sequence or structural similarity /// 0046965 // retinoid X receptor binding // inferred from sequence or structural similarity
100050_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation
100051_at	0005515 // protein binding // inferred from electronic annotation
100052_at	0005515 // protein binding // inferred from electronic annotation
100054_s_at	
100056_at	0005515 // protein binding // inferred from electronic annotation
100057_at	0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100058_at	
100059_at	0005506 // iron ion binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100060_i_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
100061_f_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation /// 0008233 // peptidase activity // inferred from electronic annotation /// 0008236 // serine-type peptidase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation
100062_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0017111 // nucleoside-triphosphatase activity // inferred from electronic annotation
100064_f_at	0005102 // receptor binding // inferred from physical interaction /// 0005243 // gap junction channel activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0017124 // SH3 domain binding // inferred from electronic annotation /// 0022857 // transmembrane transporter activity // inferred from electronic annotation /// 0030165 // PDZ domain binding // inferred from electronic annotation
100065_r_at	0005102 // receptor binding // inferred from physical interaction /// 0005243 // gap junction channel activity // inferred from direct assay /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0017124 // SH3 domain binding // inferred from electronic annotation /// 0022857 // transmembrane transporter activity // inferred from electronic annotation /// 0030165 // PDZ domain binding // inferred from electronic annotation
100066_at	"0000166 // nucleotide binding // inferred from electronic annotation /// 0003824 // catalytic activity // inferred from electronic annotation /// 0004637 // phosphoribosylamine-glycine ligase activity // inferred from electronic annotation /// 0004641 // phosphoribosylformylglycinamidine cyclo-ligase activity // inferred from electronic annotation /// 0004644 // phosphoribosylglycinamide formyltransferase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016742 // hydroxymethyl-, formyl- and related transferase activity // inferred from electronic annotation /// 0016874 // ligase activity // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
100067_at	0004032 // aldehyde reductase activity // inferred from direct assay /// 0004032 // aldehyde reductase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation
100068_at	0001758 // retinal dehydrogenase activity // inferred from electronic annotation /// 0004028 // 3-chloroallyl aldehyde dehydrogenase activity // inferred from direct assay /// 0016491 // oxidoreductase activity // inferred from electronic annotation
100069_at	"0004497 // monooxygenase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0009055 // electron carrier activity // inferred from electronic annotation /// 0016491 // oxidoreductase activity // inferred from electronic annotation /// 0016712 // oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen // inferred from electronic annotation /// 0020037 // heme binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
100071_at	"0003824 // catalytic activity // inferred from electronic annotation /// 0005215 // transporter activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005550 // pheromone binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016814 // hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in cyclic amidines // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation"
100072_at	0003700 // transcription factor activity // traceable author statement /// 0005515 // protein binding // traceable author statement /// 0005515 // protein binding // inferred from electronic annotation
100073_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0008168 // methyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
100074_at	
100078_at	0005319 // lipid transporter activity // inferred from electronic annotation /// 0008289 // lipid binding // inferred from electronic annotation
100079_at	
100080_at	0008289 // lipid binding // inferred from electronic annotation
100081_at	0005488 // binding // inferred from electronic annotation
100082_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // not recorded /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from direct assay /// 0003700 // transcription factor activity // inferred from mutant phenotype /// 0003700 // transcription factor activity // not recorded /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // not recorded /// 0005515 // protein binding // inferred from electronic annotation /// 0016563 // transcription activator activity // inferred from direct assay /// 0016563 // transcription activator activity // inferred from mutant phenotype /// 0016563 // transcription activator activity // inferred from electronic annotation /// 0030528 // transcription regulator activity // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from physical interaction /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from physical interaction
100084_at	0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0008092 // cytoskeletal protein binding // inferred from electronic annotation /// 0043621 // protein self-association // inferred from sequence or structural similarity /// 0050839 // cell adhesion molecule binding // inferred from sequence or structural similarity /// 0051015 // actin filament binding // inferred from sequence or structural similarity
100085_at	0003840 // gamma-glutamyltransferase activity // traceable author statement /// 0003840 // gamma-glutamyltransferase activity // inferred from electronic annotation /// 0008415 // acyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
100086_at	0004872 // receptor activity // inferred from electronic annotation /// 0008201 // heparin binding // inferred from electronic annotation /// 0050750 // low-density lipoprotein receptor binding // not recorded /// 0050750 // low-density lipoprotein receptor binding // inferred from electronic annotation
100088_at	0004721 // phosphoprotein phosphatase activity // inferred from electronic annotation /// 0004722 // protein serine/threonine phosphatase activity // inferred from direct assay /// 0005506 // iron ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100089_at	0003755 // peptidyl-prolyl cis-trans isomerase activity // inferred from electronic annotation /// 0016853 // isomerase activity // inferred from electronic annotation /// 0042277 // peptide binding // inferred from electronic annotation
100091_at	0005351 // sugar:hydrogen symporter activity // inferred from electronic annotation
100093_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004693 // cyclin-dependent protein kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation
100094_at	0003711 // transcription elongation regulator activity // inferred from electronic annotation /// 0008148 // negative transcription elongation factor activity // inferred from electronic annotation /// 0008159 // positive transcription elongation factor activity // inferred from electronic annotation /// 0019899 // enzyme binding // inferred from electronic annotation /// 0046982 // protein heterodimerization activity // inferred from electronic annotation
100095_at	0001786 // phosphatidylserine binding // inferred from electronic annotation /// 0004872 // receptor activity // inferred from electronic annotation /// 0008035 // high-density lipoprotein binding // inferred from direct assay
100099_at	"0004767 // sphingomyelin phosphodiesterase activity // inferred from electronic annotation /// 0016787 // hydrolase activity // inferred from electronic annotation /// 0016798 // hydrolase activity, acting on glycosyl bonds // inferred from electronic annotation"
100100_at	0004866 // endopeptidase inhibitor activity // inferred from electronic annotation /// 0004867 // serine-type endopeptidase inhibitor activity // inferred from electronic annotation
100101_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity
100103_f_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation
100104_r_at	0003824 // catalytic activity // inferred from electronic annotation /// 0004252 // serine-type endopeptidase activity // inferred from electronic annotation
100106_at	
100109_s_at	0005198 // structural molecule activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction
100112_at	0005125 // cytokine activity // inferred from electronic annotation /// 0008009 // chemokine activity // inferred from direct assay /// 0008009 // chemokine activity // inferred from electronic annotation /// 0008083 // growth factor activity // inferred from electronic annotation
100113_s_at	0005083 // small GTPase regulator activity // traceable author statement /// 0005089 // Rho guanyl-nucleotide exchange factor activity // traceable author statement /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0019894 // kinesin binding // inferred from electronic annotation
100115_at	0005515 // protein binding // inferred from electronic annotation
100116_at	
100117_at	"0005515 // protein binding // inferred from electronic annotation /// 0008378 // galactosyltransferase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0016757 // transferase activity, transferring glycosyl groups // inferred from electronic annotation"
100120_at	0005509 // calcium ion binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0050840 // extracellular matrix binding // inferred from direct assay
100122_at	0004871 // signal transducer activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction
100123_f_at	0004872 // receptor activity // inferred from electronic annotation /// 0005178 // integrin binding // inferred from physical interaction /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0042802 // identical protein binding // inferred from electronic annotation
100124_r_at	0004872 // receptor activity // inferred from electronic annotation /// 0005178 // integrin binding // inferred from physical interaction /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0042802 // identical protein binding // inferred from electronic annotation
100125_at	0003677 // DNA binding // not recorded /// 0003700 // transcription factor activity // not recorded /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0004177 // aminopeptidase activity // inferred from electronic annotation /// 0005515 // protein binding // not recorded /// 0005515 // protein binding // inferred from electronic annotation /// 0008235 // metalloexopeptidase activity // inferred from electronic annotation
100126_at	0003677 // DNA binding // inferred from electronic annotation /// 0003887 // DNA-directed DNA polymerase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from direct assay /// 0016740 // transferase activity // inferred from electronic annotation /// 0016779 // nucleotidyltransferase activity // inferred from electronic annotation /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation
100127_at	0001972 // retinoic acid binding // inferred from direct assay /// 0005215 // transporter activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0008289 // lipid binding // inferred from electronic annotation /// 0016918 // retinal binding // inferred from electronic annotation /// 0019841 // retinol binding // inferred from electronic annotation /// 0030332 // cyclin binding // not recorded
100128_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004674 // protein serine/threonine kinase activity // inferred from electronic annotation /// 0004693 // cyclin-dependent protein kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0008353 // RNA polymerase subunit kinase activity // inferred from electronic annotation /// 0016301 // kinase activity // inferred from direct assay /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0030544 // Hsp70 protein binding // inferred from physical interaction
100130_at	0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0003700 // transcription factor activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0043565 // sequence-specific DNA binding // inferred from electronic annotation /// 0046983 // protein dimerization activity // inferred from electronic annotation
100131_at	0004857 // enzyme inhibitor activity // inferred from direct assay /// 0005515 // protein binding // inferred from sequence or structural similarity /// 0051082 // unfolded protein binding // inferred from electronic annotation /// 0051082 // unfolded protein binding // inferred from sequence or structural similarity
100133_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0004672 // protein kinase activity // inferred from direct assay /// 0004672 // protein kinase activity // inferred from electronic annotation /// 0004713 // protein tyrosine kinase activity // inferred from direct assay /// 0004713 // protein tyrosine kinase activity // inferred from electronic annotation /// 0004715 // non-membrane spanning protein tyrosine kinase activity // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0005524 // ATP binding // inferred from electronic annotation /// 0015631 // tubulin binding // inferred from direct assay /// 0016301 // kinase activity // inferred from electronic annotation /// 0016740 // transferase activity // inferred from electronic annotation /// 0030145 // manganese ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100134_at	0005488 // binding // traceable author statement /// 0005515 // protein binding // inferred from electronic annotation /// 0042803 // protein homodimerization activity // inferred from physical interaction /// 0050431 // transforming growth factor beta binding // inferred from physical interaction
100136_at	
100138_f_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from electronic annotation /// 0030374 // ligand-dependent nuclear receptor transcription coactivator activity // inferred from electronic annotation /// 0030374 // ligand-dependent nuclear receptor transcription coactivator activity // inferred from sequence or structural similarity
100139_at	0004867 // serine-type endopeptidase inhibitor activity // inferred from direct assay
100141_at	0003735 // structural constituent of ribosome // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction
100142_at	0004872 // receptor activity // inferred from electronic annotation /// 0005488 // binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from electronic annotation /// 0005529 // sugar binding // inferred from electronic annotation
100143_at	0005515 // protein binding // inferred from physical interaction /// 0005515 // protein binding // inferred from electronic annotation /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100144_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from direct assay /// 0003723 // RNA binding // inferred from electronic annotation /// 0003723 // RNA binding // inferred from sequence or structural similarity /// 0005515 // protein binding // inferred from physical interaction /// 0042162 // telomeric DNA binding // inferred from sequence or structural similarity
100147_at	"0003723 // RNA binding // inferred from electronic annotation /// 0003994 // aconitate hydratase activity // inferred from direct assay /// 0003994 // aconitate hydratase activity // inferred from electronic annotation /// 0005506 // iron ion binding // inferred from electronic annotation /// 0016829 // lyase activity // inferred from electronic annotation /// 0030350 // iron-responsive element binding // inferred from direct assay /// 0046872 // metal ion binding // inferred from electronic annotation /// 0051536 // iron-sulfur cluster binding // inferred from electronic annotation /// 0051539 // 4 iron, 4 sulfur cluster binding // inferred from electronic annotation"
100148_at	0003676 // nucleic acid binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from direct assay /// 0003677 // DNA binding // inferred from electronic annotation /// 0005515 // protein binding // inferred from physical interaction /// 0008270 // zinc ion binding // inferred from electronic annotation /// 0046872 // metal ion binding // inferred from electronic annotation
100149_at	0000166 // nucleotide binding // inferred from electronic annotation /// 0003677 // DNA binding // inferred from electronic annotation /// 0003678 // DNA helicase activity // inferred from physical interaction /// 0003697 // single-stranded DNA binding // inferred from physical interaction /// 0005515 // protein binding // inferred from physical interaction /// 0005524 // ATP binding // inferred from electronic annotation /// 0042802 // identical protein binding // inferred from electronic annotation
100150_f_at	0005179 // hormone activity // traceable author statement /// 0005179 // hormone activity // inferred from electronic annotation
100151_at	0005515 // protein binding // inferred from electronic annotation
