Probe Set ID	Gene Title	Gene Symbol	UniGene ID	Chromosomal Location
1552287_s_at	AFG3 ATPase family gene 3-like 1 (S. cerevisiae)	AFG3L1	Hs.534773	chr16q24.3
1552288_at	cartilage intermediate layer protein 2	CILP2	Hs.279574	chr19p13.11
1552289_a_at	cartilage intermediate layer protein 2	CILP2	Hs.279574	chr19p13.11
1552291_at	"phosphatidylinositol glycan anchor biosynthesis, class X"	PIGX	Hs.223296	chr3q29
1552293_at	transmembrane protein 196	TMEM196	Hs.487670	chr7p15.3
1552295_a_at	"solute carrier family 39 (zinc transporter), member 13"	SLC39A13	Hs.523664	chr11p11.2
1552296_at	bestrophin 4	BEST4	Hs.302513	chr1p33-p32.3
1552299_at	chromosome 6 open reading frame 199	C6orf199	Hs.486169	chr6q21
1552301_a_at	coronin 6	CORO6	Hs.143046	chr17q11.2
1552302_at	similar to transmembrane protein 106A /// transmembrane protein 106A	FLJ77644 /// TMEM106A	Hs.567647	chr17q21.31
1552303_a_at	similar to transmembrane protein 106A /// transmembrane protein 106A	FLJ77644 /// TMEM106A	Hs.567647	chr17q21.31
1552304_at	"asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase)"	ALG10	Hs.714929	chr12p11.1
1552306_at	"asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase)"	ALG10	Hs.714929	chr12p11.1
1552307_a_at	tetratricopeptide repeat domain 39C	TTC39C	Hs.709286	chr18q11.2
1552309_a_at	nexilin (F actin binding protein)	NEXN	Hs.632387	chr1p31.1
1552310_at	chromosome 15 open reading frame 40	C15orf40	Hs.352541	chr15q25.2
1552311_a_at	retina and anterior neural fold homeobox 2	RAX2	Hs.532691	chr19p13.3
1552312_a_at	microfibrillar-associated protein 3	MFAP3	Hs.432818	chr5q32-q33.2
1552314_a_at	eyes absent homolog 3 (Drosophila)	EYA3	Hs.713591	chr1p36
1552315_at	"GTPase, IMAP family member 1"	GIMAP1	Hs.647087	chr7q36.1
1552316_a_at	"GTPase, IMAP family member 1"	GIMAP1	Hs.647087	chr7q36.1
1552318_at	"GTPase, IMAP family member 1"	GIMAP1	Hs.647087	chr7q36.1
1552319_a_at	kallikrein-related peptidase 8	KLK8	Hs.104570	chr19q13.3-q13.4
1552320_a_at	coiled-coil domain containing 65	CCDC65	Hs.512805	chr12q13.12
1552321_a_at	coiled-coil domain containing 65	CCDC65	Hs.512805	chr12q13.12
1552322_at	family with sequence similarity 122C	FAM122C	Hs.269127	chrXq26.3
1552323_s_at	family with sequence similarity 122C	FAM122C	Hs.269127	chrXq26.3
1552325_at	coiled-coil domain containing 11	CCDC11	Hs.658630	chr18q21.1
1552326_a_at	coiled-coil domain containing 11	CCDC11	Hs.658630	chr18q21.1
1552327_at	"armadillo repeat containing, X-linked 4"	ARMCX4	Hs.709762	chrXq22.1
1552329_at	retinoblastoma binding protein 6	RBBP6	Hs.188553	chr16p12.2
1552330_at	hypothetical protein MGC16385	MGC16385	Hs.513832	chr16q24.3
1552332_at	TRIO and F-actin binding protein	TRIOBP	Hs.533030	chr22q13.1
1552334_at	TRIO and F-actin binding protein	TRIOBP	Hs.533030	chr22q13.1
1552335_at	"cation channel, sperm associated 1"	CATSPER1	Hs.189105	chr11q12.1
1552337_s_at	homeobox D4	HOXD4	Hs.591609	chr2q31.1
1552338_at	goosecoid homeobox	GSC	Hs.440438	chr14q32.1
1552340_at	Sp7 transcription factor	SP7	Hs.209402	chr12q13.13
1552343_s_at	phosphodiesterase 7A	PDE7A	Hs.584788	chr8q13
1552344_s_at	"CCR4-NOT transcription complex, subunit 7"	CNOT7	Hs.598387	chr8p22-p21.3
1552347_at	"crystallin, zeta (quinone reductase)-like 1"	CRYZL1	Hs.352671	chr21q21.3
1552348_at	"protease, serine, 33"	PRSS33	Hs.280658	chr16p13.3
1552349_a_at	"protease, serine, 33"	PRSS33	Hs.280658	chr16p13.3
1552354_at	chromosome 19 open reading frame 26	C19orf26	Hs.346575	chr19p13.3
1552355_s_at	chromosome 19 open reading frame 26	C19orf26	Hs.346575	chr19p13.3
1552359_at	chromosome 8 open reading frame 45	C8orf45	Hs.437006	chr8q13.1
1552360_a_at	toll-interleukin 1 receptor (TIR) domain containing adaptor protein	TIRAP	Hs.537126	chr11q24.2
1552362_a_at	liver expressed antimicrobial peptide 2	LEAP2	Hs.337588	chr5q31.1
1552364_s_at	musashi homolog 2 (Drosophila)	MSI2	Hs.658922	chr17q22
1552365_at	scinderin	SCIN	Hs.655515	chr7p21.3
1552367_a_at	scinderin	SCIN	Hs.655515	chr7p21.3
1552368_at	CCCTC-binding factor (zinc finger protein)-like	CTCFL	Hs.131543	chr20q13.31
1552370_at	chromosome 4 open reading frame 33	C4orf33	Hs.567679	chr4q28.2
1552372_at	chromosome 4 open reading frame 33	C4orf33	Hs.567679	chr4q28.2
1552373_s_at	chromosome 4 open reading frame 33	C4orf33	Hs.567679	chr4q28.2
1552375_at	zinc finger protein 333	ZNF333	Hs.515215	chr19p13
1552377_s_at	"family with sequence similarity 18, member B2"	FAM18B2	Hs.659357	chr17p12
1552378_s_at	retinol dehydrogenase 10 (all-trans)	RDH10	Hs.244940	chr8q21.11
1552379_at	retinol dehydrogenase 10 (all-trans)	RDH10	Hs.244940	chr8q21.11
1552381_at	serine-arginine repressor protein (35 kDa)	SRrp35	Hs.254414	chr6q15
1552383_at	"family with sequence similarity 71, member A"	FAM71A	Hs.129293	chr1q32.3
1552384_a_at	"family with sequence similarity 71, member A"	FAM71A	Hs.129293	chr1q32.3
1552386_at	chromosome 5 open reading frame 29	C5orf29	Hs.547697	chr5q11.2
1552388_at	hypothetical protein FLJ30901	FLJ30901	---	chr22q13.31
1552389_at	chromosome 8 open reading frame 47	C8orf47	Hs.171455	chr8q22.2
1552390_a_at	chromosome 8 open reading frame 47	C8orf47	Hs.171455	chr8q22.2
1552391_at	chromosome 1 open reading frame 65	C1orf65	Hs.192090	chr1q41
1552393_at	ENTH domain containing 1	ENTHD1	Hs.474869	chr22q13.1
1552394_a_at	ENTH domain containing 1	ENTHD1	Hs.474869	chr22q13.1
1552395_at	testis-specific serine kinase 3	TSSK3	Hs.512763	chr1p35-p34
1552396_at	"serine peptidase inhibitor-like, with Kunitz and WAP domains 1 (eppin) /// WAP four-disulfide core domain 6"	SPINLW1 /// WFDC6	Hs.673237	chr20q12-q13.2 /// chr20q13.12
1552398_a_at	"C-type lectin domain family 12, member A /// C-type lectin domain family 12, member B"	CLEC12A /// CLEC12B	Hs.127937	chr12p13.2
1552399_a_at	"BRF1 homolog, subunit of RNA polymerase III transcription initiation factor IIIB (S. cerevisiae)"	BRF1	Hs.424484	chr14q
1552400_a_at	chromosome 15 open reading frame 27	C15orf27	Hs.661411	chr15q24.2
1552401_a_at	chromosome 21 open reading frame 41	C21orf41	Hs.659368	chr21q22.11
1552402_at	calmodulin-like 6	CALML6	Hs.85902	chr1p36.33
1552405_at	"NLR family, pyrin domain containing 5"	NLRP5	Hs.356872	chr19q13.42
1552408_at	outer dense fiber of sperm tails 4	ODF4	Hs.186045	chr17p13.1
1552409_a_at	outer dense fiber of sperm tails 4	ODF4	Hs.186045	chr17p13.1
1552410_at	"C-type lectin domain family 4, member F"	CLEC4F	Hs.681239	chr2p13.3
1552411_at	"defensin, beta 106A /// defensin, beta 106B"	DEFB106A /// DEFB106B	Hs.511958	chr8p23.1
1552412_a_at	"defensin, beta 106A /// defensin, beta 106B"	DEFB106A /// DEFB106B	Hs.511958	chr8p23.1
1552414_at	WAP four-disulfide core domain 9	WFDC9	Hs.249828	chr20q12-q13.1
1552415_a_at	WAP four-disulfide core domain 9	WFDC9	Hs.249828	chr20q12-q13.1
1552417_a_at	"neural precursor cell expressed, developmentally down-regulated 1"	NEDD1	Hs.270084	chr12q23.1
1552418_at	"tubulin tyrosine ligase-like family, member 10"	TTLL10	Hs.454835	chr1p36.33
1552419_s_at	"tubulin tyrosine ligase-like family, member 10"	TTLL10	Hs.454835	chr1p36.33
1552421_a_at	calreticulin 3	CALR3	Hs.304020	chr19p13.11
1552422_at	chromosome 10 open reading frame 25	C10orf25	---	chr10q11.21
1552423_at	ets variant gene 3	ETV3	Hs.352672	chr1q21-q23
1552424_at	kelch-like 10 (Drosophila)	KLHL10	Hs.127510	chr17q21.2
1552425_a_at	kelch-like 10 (Drosophila)	KLHL10	Hs.127510	chr17q21.2
1552426_a_at	TM2 domain containing 3	TM2D3	Hs.288912	chr15q26.3
1552427_at	zinc finger protein 485	ZNF485	Hs.147440	chr10q11.21
1552430_at	WD repeat domain 17	WDR17	Hs.532056	chr4q34
1552432_at	hypothetical protein FLJ35773	FLJ35773	Hs.213603	chr17p13.1
1552436_a_at	cadherin-like 23	CDH23	Hs.656032	chr10q21-q22
1552438_a_at	ankyrin and armadillo repeat containing	ANKAR	Hs.655700	chr2q32.2
1552439_s_at	multiple EGF-like-domains 11	MEGF11	Hs.712886	chr15q22.31
1552440_at	G protein-coupled receptor 182	GPR182	Hs.483909	chr12q13.3
1552445_a_at	ESX homeobox 1	ESX1	Hs.223782	chrXq22.1
1552448_a_at	chromosome 8 open reading frame 12	C8orf12	---	chr8p23-p22
1552449_a_at	"secretoglobin, family 1C, member 1-like /// hypothetical protein LOC100130477 /// secretoglobin, family 1C, member 1"	hCG_1741344 /// LOC100130477 /// SCGB1C1	Hs.127059	chr11p15.5
1552450_a_at	"DnaJ (Hsp40) homolog, subfamily C, member 5 gamma"	DNAJC5G	Hs.116303	chr2p23.3
1552452_at	WD repeat domain 88	WDR88	Hs.211046	chr19q13.11
1552453_a_at	WD repeat domain 88	WDR88	Hs.211046	chr19q13.11
1552455_at	prune homolog 2 (Drosophila)	PRUNE2	Hs.262857	chr9q21.13
1552456_a_at	methyl-CpG binding domain protein 3-like 2	MBD3L2	Hs.567667	chr19p13.2
1552457_a_at	ADAMTS-like 1	ADAMTSL1	Hs.522019	chr9p22.2-p22.1
1552458_at	methyl-CpG binding domain protein 3-like 1	MBD3L1	Hs.133912	chr19p13.2
1552459_a_at	methyl-CpG binding domain protein 3-like 1	MBD3L1	Hs.133912	chr19p13.2
1552461_at	"family with sequence similarity 46, member D"	FAM46D	Hs.367959	chrXq21.1
1552463_at	"serpin peptidase inhibitor, clade B (ovalbumin), member 11"	SERPINB11	Hs.350958	---
1552466_x_at	chromosome 21 open reading frame 100	C21orf100	Hs.438549	chr21q21.3
1552467_at	Down syndrome critical region gene 10	DSCR10	Hs.147695	chr21q22.13
1552468_a_at	Down syndrome critical region gene 10	DSCR10	Hs.147695	chr21q22.13
1552470_a_at	abhydrolase domain containing 11	ABHD11	Hs.647045	chr7q11.23
1552472_a_at	"centaurin, beta 2"	CENTB2	Hs.654597	chr3q29
1552473_at	guanidinoacetate N-methyltransferase	GAMT	Hs.81131	chr19p13.3
1552474_a_at	guanidinoacetate N-methyltransferase	GAMT	Hs.81131	chr19p13.3
1552476_s_at	"phospholipase C, delta 3"	PLCD3	Hs.380094	chr17q21.31
1552477_a_at	interferon regulatory factor 6	IRF6	Hs.591415	chr1q32.3-q41
1552478_a_at	interferon regulatory factor 6	IRF6	Hs.591415	chr1q32.3-q41
1552480_s_at	"protein tyrosine phosphatase, receptor type, C"	PTPRC	Hs.654514	chr1q31-q32
1552481_s_at	"mannosidase, alpha, class 1A, member 2"	MAN1A2	Hs.435938	chr1p13
1552482_at	Ras association (RalGDS/AF-6) and pleckstrin homology domains 1	RAPH1	Hs.471162	chr2q33
1552484_at	"Smith-Magenis syndrome chromosome region, candidate 8"	SMCR8	Hs.592944	chr17p11.2
1552485_at	"lactamase, beta"	LACTB	Hs.410388	chr15q22.1
1552486_s_at	"lactamase, beta"	LACTB	Hs.410388	chr15q22.1
1552487_a_at	basonuclin 1	BNC1	Hs.459153	chr15q25.2
1552489_s_at	"membrane protein, palmitoylated 4 (MAGUK p55 subfamily member 4)"	MPP4	Hs.63085	chr2q33.2
1552490_at	lactation elevated 1	LACE1	Hs.259666	chr6q22.1
1552491_at	isopentenyl-diphosphate delta isomerase 2	IDI2	Hs.591325	chr10p15.3
1552493_s_at	"cytochrome P450, family 11, subfamily B, polypeptide 1"	CYP11B1	Hs.184927	chr8q21
1552494_at	"TAF8 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 43kDa"	TAF8	Hs.520122	chr6p21.1
1552496_a_at	cordon-bleu homolog (mouse)	COBL	Hs.99141	chr7p12.1
1552497_a_at	SLAM family member 6	SLAMF6	Hs.492348	chr1q23.2
1552498_at	zinc finger and SCAN domain containing 20	ZSCAN20	Hs.442705	chr1p34.3
1552499_a_at	zinc finger and SCAN domain containing 20	ZSCAN20	Hs.442705	chr1p34.3
1552501_a_at	G protein-coupled bile acid receptor 1	GPBAR1	Hs.160954	chr2q35
1552502_s_at	"rhomboid, veinlet-like 2 (Drosophila)"	RHBDL2	Hs.524626	chr1p34.3
1552503_at	Fraser syndrome 1	FRAS1	Hs.369448	chr4q21.21
1552504_a_at	BR serine/threonine kinase 1	BRSK1	Hs.182081	chr19q13.4
1552506_at	crumbs homolog 2 (Drosophila)	CRB2	Hs.710092	chr9q33.2
1552507_at	"potassium voltage-gated channel, Isk-related family, member 4"	KCNE4	Hs.348522	chr2q36.3
1552508_at	"potassium voltage-gated channel, Isk-related family, member 4"	KCNE4	Hs.348522	chr2q36.3
1552509_a_at	CD300 molecule-like family member g	CD300LG	Hs.657365	chr17q21.31
1552510_at	"solute carrier family 34 (sodium phosphate), member 3"	SLC34A3	Hs.432442	chr9q34
1552511_a_at	carboxypeptidase A6	CPA6	Hs.658850	chr8q13.2
1552514_at	WBP2 N-terminal like	WBP2NL	Hs.655541	chr22q13.2
1552515_at	homeodomain interacting protein kinase 1	HIPK1	Hs.532363	chr1p13.2
1552516_a_at	homeodomain interacting protein kinase 1	HIPK1	Hs.532363	chr1p13.2
1552518_s_at	"Mdm2, transformed 3T3 cell double minute 2, p53 binding protein (mouse) binding protein, 104kDa"	MTBP	Hs.657656	chr8q24.12
1552519_at	"activin A receptor, type IC"	ACVR1C	Hs.562901	chr2q24.1
1552520_at	transmembrane protein 74	TMEM74	Hs.99439	chr8q23.1
1552521_a_at	transmembrane protein 74	TMEM74	Hs.99439	chr8q23.1
1552522_at	tigger transposable element derived 4	TIGD4	Hs.301243	chr4q31.3
1552523_a_at	tigger transposable element derived 4	TIGD4	Hs.301243	chr4q31.3
1552524_at	ADP-ribosyltransferase 5	ART5	Hs.125680	chr11p15.4
1552526_at	"family with sequence similarity 71, member C"	FAM71C	Hs.591011	chr12q23.1
1552528_at	chromosome 21 open reading frame 67	C21orf67	Hs.534504	chr21q22.3
1552531_a_at	"NLR family, pyrin domain containing 11"	NLRP11	Hs.375039	chr19q13.42
1552532_a_at	"ATPase, H+ transporting, lysosomal 42kDa, V1 subunit C2"	ATP6V1C2	Hs.580464	---
1552535_at	claudin 19	CLDN19	Hs.496270	chr1p34.2
1552536_at	vesicle transport through interaction with t-SNAREs homolog 1A (yeast)	VTI1A	Hs.194554	chr10q25.2
1552538_a_at	kinesin family member 6	KIF6	Hs.588202	chr6p21.2
1552540_s_at	IQ motif containing D	IQCD	Hs.568276	chr12q24.13
1552541_at	T-cell activation RhoGTPase activating protein	TAGAP	Hs.529984	chr6q25.3
1552542_s_at	T-cell activation RhoGTPase activating protein	TAGAP	Hs.529984	chr6q25.3
1552543_a_at	stonin 2	STON2	Hs.14248	chr14q31.1
1552544_at	"serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 12"	SERPINA12	Hs.99476	chr14q32.13
1552546_a_at	leucine zipper-EF-hand containing transmembrane protein 2	LETM2	Hs.696457	chr8p12
1552548_at	"Bartter syndrome, infantile, with sensorineural deafness (Barttin)"	BSND	Hs.151291	chr1p32.1
1552549_a_at	"Bartter syndrome, infantile, with sensorineural deafness (Barttin)"	BSND	Hs.151291	chr1p32.1
1552552_s_at	"C-type lectin domain family 4, member C"	CLEC4C	Hs.351812	chr12p13.2-p12.3
1552553_a_at	"NLR family, CARD domain containing 4"	NLRC4	Hs.574741	chr2p22-p21
1552554_a_at	"NLR family, CARD domain containing 4"	NLRC4	Hs.574741	chr2p22-p21
1552555_at	"protease, serine, 36"	PRSS36	Hs.256632	chr16p11.2
1552557_a_at	"zinc finger, DHHC-type containing 15"	ZDHHC15	Hs.253211	chrXq13.3
1552558_a_at	retinoic acid induced 1	RAI1	Hs.655395	chr17p11.2
1552559_a_at	PFTAIRE protein kinase 2	PFTK2	Hs.348711	chr2q33.2
1552562_at	zinc finger protein 570	ZNF570	Hs.350875	chr19q13.12
1552563_a_at	chromosome 8 open reading frame 6	C8orf6	Hs.662841	chr8p23.1
1552564_at	nudix (nucleoside diphosphate linked moiety X)-type motif 9 pseudogene 1	NUDT9P1	Hs.441287	chr10q23.32
1552566_at	BTB (POZ) domain containing 16	BTBD16	Hs.422466	chr10q26.13
1552568_at	receptor (chemosensory) transporter protein 3	RTP3	Hs.196584	chr3p21.3
1552569_a_at	receptor (chemosensory) transporter protein 3	RTP3	Hs.196584	chr3p21.3
1552570_at	chromosome 21 open reading frame 29	C21orf29	Hs.660703	chr21q22.3
1552572_a_at	mirror-image polydactyly 1	MIPOL1	Hs.660396	chr14q13.3-q21.1
1552573_s_at	mirror-image polydactyly 1	MIPOL1	Hs.660396	chr14q13.3-q21.1
1552575_a_at	chromosome 6 open reading frame 141	C6orf141	Hs.485528	chr6p12.3
1552576_at	Alstrom syndrome 1 pseudogene	ALMS1P	Hs.278983	chr2p13.2
1552578_a_at	myosin IIIB	MYO3B	Hs.671900	chr2q31.1-q31.2
1552579_a_at	ADAM metallopeptidase domain 21	ADAM21	Hs.178748	chr14q24.1
1552580_at	tripartite motif family-like 2	TRIML2	Hs.276429	chr4q35.2
1552582_at	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"	ABCC13	Hs.366575	chr21q11.2
1552583_s_at	"ATP-binding cassette, sub-family C (CFTR/MRP), member 13"	ABCC13	Hs.366575	chr21q11.2
1552584_at	"interleukin 12 receptor, beta 1"	IL12RB1	Hs.567294	chr19p13.1
1552585_s_at	"general transcription factor IIA, 1-like /// stonin 1"	GTF2A1L /// STON1	Hs.44385	chr2p16.3
1552586_at	"transient receptor potential cation channel, subfamily V, member 3"	TRPV3	Hs.446255	chr17p13.3
1552587_at	cyclic nucleotide binding domain containing 1	CNBD1	Hs.246284	chr8q21.3
1552588_a_at	cyclic nucleotide binding domain containing 1	CNBD1	Hs.246284	chr8q21.3
1552590_a_at	"ATP-binding cassette, sub-family C (CFTR/MRP), member 12"	ABCC12	Hs.410111	chr16q12.1
1552592_at	matrix metallopeptidase 21	MMP21	Hs.314141	chr10q26.2
1552594_at	transmembrane protein 190	TMEM190	Hs.590943	chr19q13.42
1552596_at	growth arrest-specific 2 like 2	GAS2L2	Hs.591194	chr17q12
1552598_at	"potassium voltage-gated channel, subfamily G, member 4"	KCNG4	Hs.335877	chr16q24.1
1552599_at	"peroxisomal, testis specific 1"	PXT1	Hs.520097	chr6p21.31
1552602_at	"calcium channel, voltage-dependent, gamma subunit 5"	CACNG5	Hs.278907	chr17q24
1552604_at	chromosome 21 open reading frame 74	C21orf74	Hs.352631	chr21q21.1
1552605_s_at	chromosome 21 open reading frame 74	C21orf74	Hs.352631	chr21q21.1
1552607_at	chromosome X open reading frame 52 /// similar to hCG2042244	CXorf52 /// LOC100132967	Hs.391764	chrXq28
1552608_at	WAP four-disulfide core domain 11	WFDC11	Hs.374924	chr20q13.12
1552609_s_at	"interleukin 28A (interferon, lambda 2) /// interleukin 28B (interferon, lambda 3)"	IL28A /// IL28B	Hs.567792	chr19q13.13
1552610_a_at	Janus kinase 1 (a protein tyrosine kinase)	JAK1	Hs.207538	chr1p32.3-p31.3
1552611_a_at	Janus kinase 1 (a protein tyrosine kinase)	JAK1	Hs.207538	chr1p32.3-p31.3
1552612_at	CDC42 small effector 2	CDC42SE2	Hs.508829	chr5q31.1
1552613_s_at	CDC42 small effector 2	CDC42SE2	Hs.508829	chr5q31.1
1552615_at	acetyl-Coenzyme A carboxylase beta	ACACB	Hs.234898	chr12q24.11
1552616_a_at	acetyl-Coenzyme A carboxylase beta	ACACB	Hs.234898	chr12q24.11
1552617_a_at	ring finger and WD repeat domain 2	RFWD2	Hs.523744	chr1q25.1-q25.2
1552618_at	syntaxin 6	STX6	Hs.518417	chr1q25.3
1552619_a_at	"anillin, actin binding protein"	ANLN	Hs.62180	chr7p15-p14
1552620_at	small proline-rich protein 4	SPRR4	Hs.433629	chr1q21.3
1552621_at	polymerase (RNA) II (DNA directed) polypeptide J2	POLR2J2	Hs.700609	chr7q22.1
1552622_s_at	"similar to POLR2J4 protein /// similar to hCG1989139 /// PMS2 postmeiotic segregation increased 2 (S. cerevisiae)-like /// polymerase (RNA) II (DNA directed) polypeptide J2 /// polymerase (RNA) II (DNA directed) polypeptide J4, pseudogene"	LOC100134053 /// LOC392713 /// LOC441259 /// POLR2J2 /// POLR2J4	Hs.696339	chr7p13 /// chr7q11.23 /// chr7q22.1
1552623_at	hematopoietic SH2 domain containing	HSH2D	Hs.631617	chr19p13.11
1552625_a_at	"tRNA nucleotidyl transferase, CCA-adding, 1"	TRNT1	Hs.567495	---
1552626_a_at	transmembrane protein 163	TMEM163	Hs.369471	chr2q21.3
1552627_a_at	Rho GTPase activating protein 5	ARHGAP5	Hs.592313	chr14q12
1552628_a_at	HERPUD family member 2	HERPUD2	Hs.706966	chr7p14.2
1552629_a_at	jumonji domain containing 6	JMJD6	Hs.514505	chr17q25
1552630_a_at	Snf2-related CREBBP activator protein	SRCAP	Hs.647334	chr16p11.2
1552631_a_at	mitogen-activated protein kinase kinase kinase 6	MAP3K6	Hs.194694	chr1p36.11
1552632_a_at	arylsulfatase G	ARSG	Hs.437249	chr17q24.2
1552633_at	zinc finger protein 101	ZNF101	Hs.631642	chr19p13.11
1552634_a_at	zinc finger protein 101	ZNF101	Hs.631642	chr19p13.11
1552637_at	"protein tyrosine phosphatase, non-receptor type 11"	PTPN11	Hs.506852	chr12q24
1552639_at	kelch domain containing 7B	KLHDC7B	Hs.592211	chr22q13.33
1552641_s_at	"ATPase family, AAA domain containing 3A /// ATPase family, AAA domain containing 3B /// ATPase family, AAA domain containing 3C /// similar to AAA-ATPase  TOB3"	ATAD3A /// ATAD3B /// ATAD3C /// LOC732419	Hs.23413	chr1p36.33
1552643_at	zinc finger protein 626	ZNF626	Hs.657001	chr19p12
1552644_a_at	polyhomeotic homolog 3 (Drosophila)	PHC3	Hs.529592	chr3q26.2
1552646_at	"interleukin 11 receptor, alpha"	IL11RA	Hs.591088	chr9p13
1552648_a_at	"tumor necrosis factor receptor superfamily, member 10a"	TNFRSF10A	Hs.591834	chr8p21
1552649_a_at	ring finger and FYVE-like domain containing 1	RFFL	Hs.13680	chr17q12
1552651_a_at	ring finger and FYVE-like domain containing 1	RFFL	Hs.13680	chr17q12
1552652_at	Hermansky-Pudlak syndrome 4	HPS4	Hs.474436	chr22cen-q12.3
1552656_s_at	U2AF homology motif (UHM) kinase 1	UHMK1	Hs.127310	chr1q23.3
1552657_a_at	thioredoxin domain-containing 2 (spermatozoa)	TXNDC2	Hs.98712	---
1552658_a_at	neuron navigator 3	NAV3	Hs.655301	chr12q14.3
1552660_a_at	chromosome 5 open reading frame 22	C5orf22	Hs.519246	chr5p13.3
1552661_at	"protocadherin gamma subfamily B, 7"	PCDHGB7	---	chr5q31
1552662_a_at	"protocadherin gamma subfamily B, 7"	PCDHGB7	---	chr5q31
1552663_a_at	ELKS/RAB6-interacting/CAST family member 1	ERC1	Hs.658200	chr12p13.3
1552664_at	folliculin	FLCN	Hs.513975	chr17p11.2
1552665_at	hypothetical protein MGC14425	MGC14425	Hs.659950	chr10q21.3
1552666_a_at	leucine rich repeat containing 7	LRRC7	Hs.479658	chr1p31.1
1552667_a_at	SH2 domain containing 3C	SH2D3C	Hs.306412	chr9q34.11
1552669_at	"protein phosphatase 1, regulatory (inhibitor) subunit 3B"	PPP1R3B	Hs.458513	chr8p23.1
1552670_a_at	"protein phosphatase 1, regulatory (inhibitor) subunit 3B"	PPP1R3B	Hs.458513	chr8p23.1
1552671_a_at	"solute carrier family 9 (sodium/hydrogen exchanger), member 7"	SLC9A7	Hs.496057	chrXp11.3-p11.23|Xp11.3
1552672_a_at	"immunoglobulin superfamily, member 3"	IGSF3	Hs.171057	chr1p13
1552673_at	"regulatory factor X, 6"	RFX6	Hs.352276	chr6q22.2
1552674_at	disrupted in renal carcinoma 1	DIRC1	Hs.470892	chr2q33
