ID	Gene Symbol	Gene Title
100305_g_at	H2-M10.1	"histocompatibility 2, M region locus 10.1"
100306_at	2700007P21Rik	RIKEN cDNA 2700007P21 gene
100307_at	Nfix	nuclear factor I/X
100308_at	Col8a1	"procollagen, type VIII, alpha 1"
100309_at	Met	met proto-oncogene
100311_f_at	Ear1	"eosinophil-associated, ribonuclease A family, member 1"
100313_at	Itga8	integrin alpha 8
100314_f_at	Itga8	integrin alpha 8
100315_at	Atp8a1	"ATPase, aminophospholipid transporter (APLT), class I, type 8A, member 1"
100317_at	Ppef2	"protein phosphatase, EF hand calcium-binding domain 2"
100318_at	Dnajb13	"DnaJ (Hsp40) related, subfamily B, member 13"
100319_at	Il10	interleukin 10
100320_at	Kpna4	karyopherin (importin) alpha 4
100321_f_at	2210418O10Rik	RIKEN cDNA 2210418O10 gene
100322_at		
100323_at	Amd1 /// Amd2	S-adenosylmethionine decarboxylase 1 /// S-adenosylmethionine decarboxylase 2
100324_g_at	Amd1 /// Amd2	S-adenosylmethionine decarboxylase 1 /// S-adenosylmethionine decarboxylase 2
100325_at	Gp49a	glycoprotein 49 A
100326_f_at	Klra8	"killer cell lectin-like receptor, subfamily A, member 8"
100327_at	Lta	lymphotoxin A
100328_s_at	Lilrb3 /// LOC619608 /// LOC664887 /// LOC669449 /// LOC669458 /// LOC669506 /// LOC675749 /// Pira1 /// Pira11 /// Pira2 /// Pira3 /// Pira4 /// Pira6	"paired-Ig-like receptor A1 /// paired-Ig-like receptor A11 /// paired-Ig-like receptor A2 /// paired-Ig-like receptor A3 /// paired-Ig-like receptor A4 /// paired-Ig-like receptor A6 /// leukocyte immunoglobulin-like receptor, subfamily B (with TM and ITIM domains), member 3 /// hypothetical LOC619608 /// similar to paired-Ig-like receptor A6 isoform a /// similar to paired-Ig-like receptor A11 /// similar to paired-Ig-like receptor A1"
100329_at	Serpina1a /// Serpina1b /// Serpina1c	"serine (or cysteine) peptidase inhibitor, clade A, member 1a /// serine (or cysteine) preptidase inhibitor, clade A, member 1b /// serine (or cysteine) peptidase inhibitor, clade A, member 1c"
100330_at	LOC633295 /// Prdx2	peroxiredoxin 2 /// similar to Peroxiredoxin-2 (Thioredoxin peroxidase 1) (Thioredoxin-dependent peroxide reductase 1) (Thiol-specific antioxidant protein) (TSA)
100331_g_at	Prdx2	peroxiredoxin 2
100332_s_at	Prdx6 /// Prdx6-rs1	"peroxiredoxin 6 /// peroxiredoxin 6, related sequence 1"
100333_at	Saa2	serum amyloid A 2
100334_f_at	Egfbp2	epidermal growth factor binding protein type B
100335_at	Atp7b	"ATPase, Cu++ transporting, beta polypeptide"
100336_s_at	Bglap-rs1 /// Bglap1 /// Bglap2	"bone gamma-carboxyglutamate protein, related sequence 1 /// bone gamma carboxyglutamate protein 1 /// bone gamma-carboxyglutamate protein 2"
100337_at	Cacna1e	"calcium channel, voltage-dependent, R type, alpha 1E subunit"
100338_s_at		
100339_at	Slc10a1	"solute carrier family 10 (sodium/bile acid cotransporter family), member 1"
100340_at	Slc10a1	"solute carrier family 10 (sodium/bile acid cotransporter family), member 1"
100341_g_at	Slc10a1	"solute carrier family 10 (sodium/bile acid cotransporter family), member 1"
100342_i_at	Tuba1a	"tubulin, alpha 1A"
100343_f_at	Tuba1a	"tubulin, alpha 1A"
100344_at		
100345_f_at	Vamp8	vesicle-associated membrane protein 8
100346_at	Fgf9	fibroblast growth factor 9
100347_at	D17892	expressed sequence D17892
100348_at	EG665081	"predicted gene, EG665081"
100349_at		
100350_at		
100351_f_at	Defcr17 /// Defcr23 /// Defcr25 /// Defcr26 /// Defcr3	defensin related cryptdin 25 /// defensin related cryptdin 3 /// defensin related cryptdin 17 /// defensin related cryptdin 23 /// defensin related cryptdin 26
100352_at	Hspa4	heat shock protein 4
100353_g_at	Hspa4	heat shock protein 4
100354_at	Tbx15	T-box 15
100355_g_at	Tbx15	T-box 15
100356_at	Gprasp1	G protein-coupled receptor associated sorting protein 1
100357_g_at	Gprasp1	G protein-coupled receptor associated sorting protein 1
100358_s_at	Tcp10a /// Tcp10b /// Tcp10c	t-complex protein 10a /// t-complex protein 10b /// t-complex protein 10c
100359_at	Tcp10b	t-complex protein 10b
100360_f_at	LOC636017	similar to Ig heavy chain V region 93G7 precursor
100361_f_at		"Ig rearranged truncated mu-chain mRNA D-J3 region, 5' end"
100362_f_at	EG434609 /// Igh /// Igh-6 /// Igh-VJ558 /// Ighv1-77 /// Ighv1-80 /// LOC435333 /// LOC630549 /// LOC641157 /// LOC671729 /// LOC675659 /// LOC677445	"immunoglobulin heavy chain 6 (heavy chain of IgM) /// immunoglobulin heavy chain (J558 family) /// immunoglobulin heavy chain complex /// predicted gene, EG434609 /// similar to monoclonal antibody heavy chain /// immunoglobulin heavy variable V1-77 /// similar to Ig heavy chain V region B1-8/186-2 precursor /// similar to Ig heavy chain V region VH558 A1/A4 precursor /// immunoglobulin heavy variable V1-80 /// similar to Ig heavy chain V region 102 precursor"
100363_at	Syt9	synaptotagmin IX
100364_at	Syt6	synaptotagmin VI
100365_at	Syt7	synaptotagmin VII
100366_at	Casp9	caspase 9
100367_g_at	Casp9	caspase 9
100368_at	Casp9	caspase 9
100369_at	St6galnac6	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 6"
100370_at	Slc12a5	"solute carrier family 12, member 5"
100371_at	EG665646 /// Hnrpa1	"heterogeneous nuclear ribonucleoprotein A1 /// predicted gene, EG665646"
100372_at	Gabrg1	"gamma-aminobutyric acid (GABA-A) receptor, subunit gamma 1"
100373_at	Slc39a1	"solute carrier family 39 (zinc transporter), member 1"
100374_at	Dmrt1	doublesex and mab-3 related transcription factor 1
100375_i_at	EG432708 /// EG668549 /// Igh /// Ighv1-52 /// Ighv1-61 /// Ighv1-64 /// Ighv1-69 /// LOC631531 /// LOC636134 /// LOC636244 /// LOC637785 /// LOC637794 /// LOC640207 /// LOC640979 /// LOC641003 /// LOC641114 /// LOC673286	"immunoglobulin heavy chain complex /// immunoglobulin heavy variable V1-64 /// immunoglobulin heavy variable V1-52 /// predicted gene, EG432708 /// immunoglobulin heavy variable V1-69 /// similar to Ig heavy chain V region VH558 B4 precursor /// similar to Ig heavy chain V region 3 precursor /// similar to Ig heavy chain V region 102 precursor /// similar to Ig heavy chain V region 23 precursor /// predicted gene, EG668549 /// immunoglobulin heavy variable V1-61"
100376_f_at	EG629860 /// Igh-VJ558	"Immunoglobulin heavy chain (J558 family) /// Predicted gene, EG629860"
100377_f_at	LOC634206 /// LOC634222 /// LOC634284 /// LOC637000 /// LOC640522	similar to Ig heavy chain V-I region V35 precursor /// similar to Ig heavy chain V region 108A precursor
100378_at		
100379_f_at		
100380_at	H3f3a	"H3 histone, family 3A"
100381_at	Acta1	"actin, alpha 1, skeletal muscle"
100382_at	St6galnac1	"ST6 (alpha-N-acetyl-neuraminyl-2,3-beta-galactosyl-1,3)-N-acetylgalactosaminide alpha-2,6-sialyltransferase 1"
100383_at	Zfp179	zinc finger protein 179
100384_at	Hsf4	heat shock transcription factor 4
100385_at	Glra1	"glycine receptor, alpha 1 subunit"
100386_at	Gnaz	"guanine nucleotide binding protein, alpha z subunit"
100387_f_at	Klra12 /// Klra13 /// Klra18 /// Klra23 /// Klra33 /// Klra4 /// LOC634585 /// LOC673407	"killer cell lectin-like receptor subfamily A, member 12 /// killer cell lectin-like receptor subfamily A, member 13 /// killer cell lectin-like receptor, subfamily A, member 4 /// killer cell lectin-like receptor subfamily A, member 23 /// killer cell lectin-like receptor, subfamily A, member 18 /// similar to Killer cell lectin-like receptor 4 (T-cell surface glycoprotein Ly-49D) (Ly49-D antigen) (Lymphocyte antigen 49D) /// killer cell lectin-like receptor subfamily A member 33 /// similar to killer cell lectin-like receptor subfamily A, member 13"
100388_at	Gnao1	"guanine nucleotide binding protein, alpha o"
100389_at	Colq	collagen-like tail subunit (single strand of homotrimer) of asymmetric acetylcholinesterase
100390_s_at	Bfsp1	beaded filament structural protein in lens-CP94
100391_at	Mapk8	mitogen activated protein kinase 8
100392_at	Apln	apelin
100393_at	Vip	vasoactive intestinal polypeptide
100394_at	Podxl	podocalyxin-like
100395_at	Gli2	GLI-Kruppel family member GLI2
100396_i_at	Tyms-ps	"thymidylate synthase, pseudogene"
100397_at	Tyrobp	TYRO protein tyrosine kinase binding protein
100398_at	Kif3a	kinesin family member 3A
100400_at	Ttc35	tetratricopeptide repeat domain 35
100401_at	Son	Son cell proliferation protein
100402_f_at	Zp3r	zona pellucida 3 receptor
100403_at	Myl7	"myosin, light polypeptide 7, regulatory"
100404_at	Ift88	intraflagellar transport 88 homolog (Chlamydomonas)
100405_at	Cbx3 /// EG629578 /// LOC632383 /// LOC633016 /// LOC675988	"chromobox homolog 3 (Drosophila HP1 gamma) /// predicted gene, EG629578 /// similar to chromobox homolog 3"
100406_at	Ptpn5	"protein tyrosine phosphatase, non-receptor type 5"
100407_at	Gal	galanin
100408_at	Pole3	"polymerase (DNA directed), epsilon 3 (p17 subunit)"
100409_at	Cdh3	cadherin 3
100410_at	Larp7	"La ribonucleoprotein domain family, member 7"
100411_at	Aebp1	AE binding protein 1
100412_g_at	Aebp1	AE binding protein 1
100413_at	Ylpm1	YLP motif containing 1
100414_s_at	Mpo	myeloperoxidase
100415_at	Mpo	myeloperoxidase
100416_at	Melk	maternal embryonic leucine zipper kinase
100417_at	Slc7a6	"solute carrier family 7 (cationic amino acid transporter, y+ system), member 6"
100418_at	Gng2	"guanine nucleotide binding protein (G protein), gamma 2 subunit"
100420_at	Flg /// LOC620355 /// LOC675741	filaggrin /// similar to Filaggrin
100421_at	Krt4	keratin 4
100422_i_at	Stat5a	signal transducer and activator of transcription 5A
100423_f_at	Stat5a	signal transducer and activator of transcription 5A
100424_at	Ercc1	"excision repair cross-complementing rodent repair deficiency, complementation group 1"
100425_at	Syk	spleen tyrosine kinase
100426_s_at	Syk	spleen tyrosine kinase
100427_at	Ptpro	"protein tyrosine phosphatase, receptor type, O"
100428_at	Lamc2	"laminin, gamma 2"
100429_at	Ppox	protoporphyrinogen oxidase
100430_at	Lepr	leptin receptor
100431_at	Lepr	leptin receptor
100432_f_at	Mdfi	MyoD family inhibitor
100433_r_at	Mdfi	MyoD family inhibitor
100434_s_at	Mdfi	MyoD family inhibitor
100435_at	Edg2	"endothelial differentiation, lysophosphatidic acid G-protein-coupled receptor, 2"
100436_at	Orm1	orosomucoid 1
100437_g_at	Orm1 /// Orm2	orosomucoid 1 /// orosomucoid 2
100438_at	Gpr19	G protein-coupled receptor 19
100439_i_at	Ank1	"ankyrin 1, erythroid"
100440_f_at	Ank1	"ankyrin 1, erythroid"
100441_s_at	Ank1	"ankyrin 1, erythroid"
100442_at	Tbrg4	transforming growth factor beta regulated gene 4
100443_at	Bcat2	"branched chain aminotransferase 2, mitochondrial"
100444_at	Cdk5	cyclin-dependent kinase 5
100445_f_at	Sprr1b	small proline-rich protein 1B
100446_r_at	Sprr1b	small proline-rich protein 1B
100447_at	Hyal2	hyaluronoglucosaminidase 2
100448_at	Acvrl1	"activin A receptor, type II-like 1"
100449_g_at	Acvrl1	"activin A receptor, type II-like 1"
100450_r_at	Acvrl1	"activin A receptor, type II-like 1"
100451_at	Hsf1	heat shock factor 1
100452_at	Klf1	Kruppel-like factor 1 (erythroid)
100453_at	Camk2b	"calcium/calmodulin-dependent protein kinase II, beta"
100454_at	Ptpru	"protein tyrosine phosphatase, receptor type, U"
100455_at	Snap91	synaptosomal-associated protein 91
100457_at	Glg1	golgi apparatus protein 1
100458_at	Napb	N-ethylmaleimide sensitive fusion protein attachment protein beta
100459_at	Rad50	RAD50 homolog (S. cerevisiae)
100460_at	Ctr9	"Ctr9, Paf1/RNA polymerase II complex component, homolog (S. cerevisiae)"
100461_at	Polr2j	polymerase (RNA) II (DNA directed) polypeptide J
100462_at	Arf6	ADP-ribosylation factor 6
100463_at	Csn1s2a	casein alpha s2-like A
100464_at	3110043O21Rik	RIKEN cDNA 3110043O21 gene
100465_i_at	Gm1673	"gene model 1673, (NCBI)"
100466_f_at	Gm1673	"gene model 1673, (NCBI)"
100467_at	Lyl1	lymphoblastomic leukemia
100468_g_at	Lyl1	lymphoblastomic leukemia
100469_at	Nfya	nuclear transcription factor-Y alpha
100470_at	Mapk10	mitogen activated protein kinase 10
100471_at	1110036O03Rik	RIKEN cDNA 1110036O03 gene
100472_at	Enah	enabled homolog (Drosophila)
100473_at	Arrb1	"arrestin, beta 1"
100474_at	St8sia2	"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 2"
100475_at	Trim25	tripartite motif protein 25
100476_at	Ibsp	integrin binding sialoprotein
100477_at	Tmem45a	transmembrane protein 45a
100479_at	Dnmt3a	DNA methyltransferase 3A
100481_at	Col11a1	"procollagen, type XI, alpha 1"
100482_at	Zfp598	zinc finger protein 598
100483_at	Ifnar1	interferon (alpha and beta) receptor 1
100484_at	Mmp13	matrix metallopeptidase 13
100486_at	Ezh1	enhancer of zeste homolog 1 (Drosophila)
100488_at	Gba	"glucosidase, beta, acid"
100489_at	Pde7a	phosphodiesterase 7A
100491_at	Slc16a2	"solute carrier family 16 (monocarboxylic acid transporters), member 2"
100492_at	Ap2a2	"adaptor protein complex AP-2, alpha 2 subunit"
100493_at	Hsd11b2	hydroxysteroid 11-beta dehydrogenase 2
100494_at	Fgf1	fibroblast growth factor 1
100495_at	Dvl2	"dishevelled 2, dsh homolog (Drosophila)"
100496_at	Pam	peptidylglycine alpha-amidating monooxygenase
100497_at	Stx3	syntaxin 3
100498_g_at	Stx3	syntaxin 3
100499_at	Stx3	syntaxin 3
100500_at	Fadd	Fas (TNFRSF6)-associated via death domain
100501_at	Atp4b	"ATPase, H+/K+ exchanging, beta polypeptide"
100502_at	Pde1c	phosphodiesterase 1C
100505_at	Rit2	Ras-like without CAAX 2
100507_at	Nov	nephroblastoma overexpressed gene
100508_at	Mfng	manic fringe homolog (Drosophila)
100509_at	Rnf19	ring finger protein (C3HC4 type) 19
100510_at	Sncb	"synuclein, beta"
100511_at	Hmha1	histocompatibility (minor) HA-1
100512_at	Uchl5	ubiquitin carboxyl-terminal esterase L5
100513_at	Ddef1	development and differentiation enhancing
100514_at	Gna13	"guanine nucleotide binding protein, alpha 13"
100515_at	Furin	furin (paired basic amino acid cleaving enzyme)
100516_at	Chka	choline kinase alpha
100518_at	Arf2	ADP-ribosylation factor 2
100521_at	Ovgp1	oviductal glycoprotein 1
100522_s_at	Wbp5	WW domain binding protein 5
100523_r_at	Wbp5	WW domain binding protein 5
100525_at	Htf9c	HpaII tiny fragments locus 9c
100526_f_at	Adam3	a disintegrin and metallopeptidase domain 3 (cyritestin)
100527_at	Ccdc56	coiled-coil domain containing 56
100528_at	Ube2h	ubiquitin-conjugating enzyme E2H
100529_at	Ube2h	ubiquitin-conjugating enzyme E2H
100530_at	Ralgds	ral guanine nucleotide dissociation stimulator
100533_s_at	Crem	cAMP responsive element modulator
100534_at	Tsnax	translin-associated factor X
100535_at	Eif4g2	"eukaryotic translation initiation factor 4, gamma 2"
100536_at	Mobp	myelin-associated oligodendrocytic basic protein
100537_at	2310016M24Rik	RIKEN cDNA 2310016M24 gene
100538_at	Sod1	"superoxide dismutase 1, soluble"
100539_at	Acot7	acyl-CoA thioesterase 7
100540_at	Lta4h	leukotriene A4 hydrolase
100542_at	Mep1a	meprin 1 alpha
100543_s_at	Brd7 /// LOC634327	bromodomain containing 7 /// similar to bromodomain containing 7
100544_at	Brd7 /// LOC634327	bromodomain containing 7 /// similar to bromodomain containing 7
100546_at	Rbm4	RNA binding motif protein 4
100547_at	Rbm4b	RNA binding motif protein 4B
100548_at	Pea15a	phosphoprotein enriched in astrocytes 15A
100549_at	Hba-x	"hemoglobin X, alpha-like embryonic chain in Hba complex"
100550_f_at	Cox6c	"cytochrome c oxidase, subunit VIc"
100551_r_at	Cox6c	"Cytochrome c oxidase, subunit VIc"
100552_at	Ifngr1	interferon gamma receptor 1
100553_at	Trim27	tripartite motif protein 27
100554_at	Pdlim1	PDZ and LIM domain 1 (elfin)
100555_at	Dscr1	Down syndrome critical region homolog 1 (human)
100556_at	Eif4b	Eukaryotic translation initiation factor 4B
100557_g_at	Eif4b	eukaryotic translation initiation factor 4B
100558_at	Eif4b	eukaryotic translation initiation factor 4B
100559_at	Dhx16	DEAH (Asp-Glu-Ala-His) box polypeptide 16
100560_at	Pafah1b1	"platelet-activating factor acetylhydrolase, isoform 1b, beta1 subunit"
100561_at	Iqgap1	IQ motif containing GTPase activating protein 1
100562_at	2400006H24Rik	RIKEN cDNA 2400006H24 gene
100564_at	Ddt	D-dopachrome tautomerase
100565_at	EG667410 /// Gnpda1 /// LOC231914	"glucosamine-6-phosphate deaminase 1 /// similar to Glucosamine-6-phosphate isomerase (Glucosamine-6-phosphate deaminase) (GNPDA) (GlcN6P deaminase) (Oscillin) /// predicted gene, EG667410"
100566_at	Igfbp5 /// Tmem119	insulin-like growth factor binding protein 5 /// transmembrane protein 119
100567_at	Fabp4	"fatty acid binding protein 4, adipocyte"
100568_at	Abce1	"ATP-binding cassette, sub-family E (OABP), member 1"
100569_at	Anxa2	annexin A2
100570_at	Nub1	negative regulator of ubiquitin-like proteins 1
100571_at	Laptm4b	lysosomal-associated protein transmembrane 4B
100572_at	Tm9sf2	transmembrane 9 superfamily member 2
100573_f_at	Gpi1 /// LOC676596	glucose phosphate isomerase 1 /// similar to Glucose-6-phosphate isomerase (GPI) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Neuroleukin) (NLK)
100574_f_at	Gpi1	glucose phosphate isomerase 1
100575_at	Ard1	N-acetyltransferase ARD1 homolog (S. cerevisiae)
100576_at	Pafah1b3	"platelet-activating factor acetylhydrolase, isoform 1b, alpha1 subunit"
100577_at	Snrpd1	small nuclear ribonucleoprotein D1
100578_at	Impdh2	inosine 5'-phosphate dehydrogenase 2
100579_s_at	Clta	"clathrin, light polypeptide (Lca)"
100580_at	Clta	"clathrin, light polypeptide (Lca)"
100581_at	Cstb	cystatin B
100582_at	Snx17	sorting nexin 17
100583_at	Igh /// Igh-2 /// Igh-VJ558 /// LOC677563	immunoglobulin heavy chain (J558 family) /// immunoglobulin heavy chain complex /// immunoglobulin heavy chain 2 (serum IgA) /// similar to Ig heavy chain V region VH558 A1/A4 precursor
100584_at	Anxa4	annexin A4
100585_at	Supt4h1 /// Supt4h2	suppressor of Ty 4 homolog 1 (S. cerevisiae) /// suppressor of Ty 4 homolog 2 (S. cerevisiae)
100586_i_at	5730403B10Rik	RIKEN cDNA 5730403B10 gene
100587_f_at	5730403B10Rik	RIKEN cDNA 5730403B10 gene
100588_at	Psme2	"proteasome (prosome, macropain) 28 subunit, beta"
100589_at	Immt	"Inner membrane protein, mitochondrial"
100592_at	Ghitm	growth hormone inducible transmembrane protein
